date,ride_confirmation_rate_pct,cancellation_dropoff_rate_pct,retry_rate_pct,time_to_ride_confirmation_sec,fare_increase_rate_pct,price_elasticity_of_conversion,driver_acceptance_rate_pct,rejections_per_successful_ride,support_tickets,churn_pct
2026-03-25,73.8,24.5,50.8,148,19.1,0.34,62.0,3.3,160,3.1
2026-03-26,74.4,24.8,51.1,143,17.9,0.34,62.5,3.2,157,3.1
2026-03-27,75.8,22.3,51.2,143,17.7,0.36,64.5,3.0,149,2.9
2026-03-28,76.2,22.9,51.7,139,17.0,0.35,64.8,2.9,150,2.7
2026-03-29,78.3,22.1,52.1,136,17.4,0.36,65.7,2.9,142,2.5
2026-03-30,78.8,21.0,51.5,134,16.3,0.3,67.4,2.7,132,2.5
2026-03-31,78.3,20.1,52.6,128,15.5,0.32,67.9,2.6,131,2.3
2026-04-01,79.8,18.0,53.0,130,15.6,0.31,69.1,2.4,120,2.2
2026-04-02,80.6,19.2,53.4,124,15.6,0.29,70.3,2.5,117,2.1
2026-04-03,81.9,17.5,53.9,121,14.6,0.27,71.1,2.2,115,2.0
2026-04-04,82.9,17.6,54.0,119,13.4,0.26,71.6,2.2,99,1.8
2026-04-05,83.2,16.0,54.6,117,12.5,0.26,73.3,2.0,100,1.8
2026-04-06,84.7,14.6,54.7,112,12.5,0.26,74.2,2.0,99,1.5
2026-04-07,84.9,15.5,54.5,110,11.5,0.24,74.9,1.8,89,1.6
