feedback_id,date,channel,sentiment,feedback_text,tags
FB-001,2026-03-25,in_app,positive,"Matched quickly even during rush hour, impressive.",speed;matched
FB-002,2026-03-25,app_store,negative,I've been a loyal customer but this update is garbage.,latency;freeze
FB-003,2026-03-25,app_store,neutral,"The pricing changed softly, unsure if it's better or worse.",neutral;wait
FB-004,2026-03-26,support_ticket,negative,"Absolutely awful latency, app froze twice.",price;spike
FB-005,2026-03-26,in_app,positive,"Love the new transparency, I finally understand the delays.",pricing;fair
FB-006,2026-03-27,support_ticket,negative,The new feature is confusing and made me miss my train.,rejection_count;dropoff
FB-007,2026-03-27,app_store,neutral,"I see the new feature, but I don't really use it much.",neutral;wait
FB-008,2026-03-27,app_store,neutral,"I see the new feature, but I don't really use it much.",layout;change
FB-009,2026-03-28,in_app,positive,"Excellent feature, hope you add more like this.",pricing;fair
FB-010,2026-03-28,in_app,neutral,Waiting time felt exactly the same. No difference.,layout;change
FB-011,2026-03-28,in_app,positive,"Excellent feature, hope you add more like this.",speed;matched
FB-012,2026-03-29,app_store,neutral,"The pricing changed softly, unsure if it's better or worse.",neutral;wait
FB-013,2026-03-29,app_store,negative,I've been a loyal customer but this update is garbage.,latency;freeze
FB-014,2026-03-29,support_ticket,negative,Wasted 15 minutes watching the screen spin.,churn_risk;competition
FB-015,2026-03-30,in_app,negative,I've been a loyal customer but this update is garbage.,price;spike
FB-016,2026-03-30,app_store,positive,"Matched quickly even during rush hour, impressive.",pricing;fair
FB-017,2026-03-30,support_ticket,positive,"Love the new transparency, I finally understand the delays.",pricing;fair
FB-018,2026-03-30,support_ticket,negative,Cancelled my ride out of sheer frustration after 3 retries.,rejection_count;dropoff
FB-019,2026-03-31,in_app,positive,"Love the new transparency, I finally understand the delays.",transparency;trust
FB-020,2026-03-31,in_app,neutral,Waiting time felt exactly the same. No difference.,layout;change
FB-021,2026-04-01,in_app,negative,Price spiked for absolutely no reason. Ripoff.,latency;freeze
FB-022,2026-04-01,app_store,negative,"Absolutely awful latency, app froze twice.",price;spike
FB-023,2026-04-01,in_app,negative,I'm uninstalling. Customer support won't even reply.,price;spike
FB-024,2026-04-02,support_ticket,negative,Cancelled my ride out of sheer frustration after 3 retries.,latency;freeze
FB-025,2026-04-02,app_store,neutral,"It's okay, a bit confusing at first but whatever.",neutral;wait
FB-026,2026-04-02,app_store,positive,"Smooth experience, didn't think the new UI would make sense but it perfectly does.",transparency;trust
FB-027,2026-04-02,support_ticket,negative,The new feature is confusing and made me miss my train.,churn_risk;competition
FB-028,2026-04-02,app_store,neutral,"Not sure why the layout changed, but still got my ride.",neutral;wait
FB-029,2026-04-02,support_ticket,negative,Cancelled my ride out of sheer frustration after 3 retries.,frustration;cancel
FB-030,2026-04-03,app_store,positive,Driver accepted my ride much faster today!,ui;smooth
FB-031,2026-04-04,in_app,negative,Why is it rejecting so much now? I gave up.,latency;freeze
FB-032,2026-04-04,in_app,negative,The new feature is confusing and made me miss my train.,churn_risk;competition
FB-033,2026-04-04,app_store,negative,I've been a loyal customer but this update is garbage.,frustration;cancel
FB-034,2026-04-05,support_ticket,negative,The new feature is confusing and made me miss my train.,frustration;cancel
FB-035,2026-04-05,in_app,negative,"Absolutely awful latency, app froze twice.",frustration;cancel
FB-036,2026-04-05,app_store,negative,Why is it rejecting so much now? I gave up.,latency;freeze
FB-037,2026-04-06,app_store,negative,Cancelled my ride out of sheer frustration after 3 retries.,latency;freeze
FB-038,2026-04-06,support_ticket,negative,Cancelled my ride out of sheer frustration after 3 retries.,frustration;cancel
FB-039,2026-04-07,app_store,negative,Price spiked for absolutely no reason. Ripoff.,price;spike
FB-040,2026-04-07,in_app,positive,"Pricing seems fairer now, didn't mind the wait.",speed;matched
