date,ride_confirmation_rate_pct,cancellation_dropoff_rate_pct,retry_rate_pct,time_to_ride_confirmation_sec,fare_increase_rate_pct,price_elasticity_of_conversion,driver_acceptance_rate_pct,rejections_per_successful_ride,support_tickets,churn_pct
2026-03-25,73.6,24.9,50.8,149,19.1,0.35,61.7,3.2,161,3.0
2026-03-26,73.5,25.6,49.9,149,19.7,0.36,60.9,3.3,164,3.1
2026-03-27,72.4,25.2,49.5,150,19.6,0.36,60.8,3.5,163,3.4
2026-03-28,72.1,26.0,49.5,153,20.1,0.36,60.6,3.5,170,3.3
2026-03-29,72.0,26.4,48.5,154,20.3,0.36,60.2,3.6,176,3.5
2026-03-30,71.5,26.7,48.4,157,20.6,0.37,59.9,3.8,173,3.5
2026-03-31,71.0,27.6,47.8,155,21.0,0.4,58.4,3.8,180,3.7
2026-04-01,71.0,27.9,47.4,158,21.2,0.38,58.9,3.9,189,3.6
2026-04-02,70.2,27.8,47.1,159,21.6,0.38,57.8,3.9,188,3.8
2026-04-03,69.8,29.0,46.9,161,22.2,0.38,56.9,4.0,196,3.7
2026-04-04,70.0,29.1,46.3,164,22.2,0.38,57.1,4.2,199,4.0
2026-04-05,68.8,30.3,45.8,167,22.5,0.4,56.2,4.3,204,4.1
2026-04-06,68.9,30.7,44.9,170,22.5,0.4,54.5,4.3,200,4.2
2026-04-07,68.2,30.7,45.0,170,23.2,0.4,55.1,4.6,210,4.2
